clusterNumber;nu0_1_meanValue;nu0_1_deviation;nu1_1_meanValue;nu1_1_deviation;nu2_1_meanValue;nu2_1_deviation;nu3_1_meanValue;nu3_1_deviation;nu4_1_meanValue;nu4_1_deviation;nu0_2_meanValue;nu0_2_deviation;nu1_2_meanValue;nu1_2_deviation;nu2_2_meanValue;nu2_2_deviation;nu3_2_meanValue;nu3_2_deviation;nu4_2_meanValue;nu4_2_deviation;
123;5.823465582204281;0.8045967851693859;0.6613052535806515;0.5742133239061344;5.677730589662753;0.7836528341454541;0.3651228795172138;0.9965830028887622;0.05986479334340551;1.0297442586766543;6.209706945670626;0.6562437987498678;6.061004893400708;0.5916666164260777;0.41050144006906625;0.6318091892219473;5.818578660298696;0.7051130178057091;0.33335788713091696;0.6928957130417489;
124;6.180559947162319;0.895353906273091;6.0978313406177875;0.7714355293814937;0.37768925013157295;0.9826203688728075;5.836031952818638;1.1798425743481666;0.3443534614184812;1.174606586592184;5.797460176349564;0.6824237375297828;0.6653195108602384;0.6335545184739415;5.69151869075351;0.7557275661135446;0.334579617607313;0.8133234314293576;0.09337511498169662;0.752236907609556;
1241;0.009773843811168246;0.5864306286700948;5.877745321941303;0.5288347633542817;0.6236061417375739;0.5358160803622591;5.64805999237885;0.5916666164260777;0.39444441095071847;0.6161012259539983;5.851739916086587;1.0349802464326374;0.6531022060962781;0.7749261878854824;5.669003943402782;0.6143558967020041;0.3830997708127553;0.8133234314293576;0.026878070480712675;1.0559241974565694;
126;6.202725628662647;0.5358160803622591;6.065019150680295;0.6370451769779303;0.4141666314982544;0.6789330790257941;5.814389870093909;0.6021385919380436;0.3443534614184812;0.4642575810304917;5.805314157983539;0.6422811647339134;0.6515314097694832;0.4799655442984406;5.702688797966273;0.582939970166106;0.32690016889853796;0.6126105674500095;0.09546951008408983;0.62482787221397;
1267;5.925392810520749;0.5602506898901798;0.6202900161587847;0.3647738136668149;5.652423315508836;0.2984513020910304;0.4410447019789671;0.47123889803846897;6.227160238190568;0.6073745796940266;5.890137159630464;0.7278022980816355;0.635299847725936;0.40840704496667307;5.6606263629932085;0.3979350694547071;0.4132939668722573;0.6876597252857658;6.266430146360441;0.8569566627292158;
127;5.8004272360779545;0.7138396640656808;0.6595599243286572;0.5288347633542817;5.700594402863879;0.7330382858376184;0.3186971214141646;0.9564404300928926;0.10140362954087054;0.9686577348568529;5.963964586989823;0.7766715171374767;0.5633922825437696;0.8045967851693859;5.6991981394622835;0.752236907609556;0.415213829049451;0.736528944341607;6.2231459809109815;0.7400196028455958;
13;5.979498017332574;2.5150194521238287;6.187366731245097;2.570869988187648;0.4232423436086249;1.8971728969178359;5.66952754217838;1.117010721276371;0.5799729104377156;1.6283921921107094;6.0887556285074185;2.1327923459370703;6.083694173676634;2.0594885173533086;0.48555059790482247;1.4940018397071464;5.668829410477583;1.0681415022205296;0.5129522671611334;1.5760323145508794;
13025;0.023561944901923447;0.7766715171374767;5.858372167244167;0.5619960191421741;0.6419320988835143;0.5515240436302081;5.63566815468969;0.7574728953655391;0.3937462792499207;0.8656833089891874;0.09843656981248018;0.8395033702092725;5.809328415263126;0.8534660042252271;0.6513568768442838;0.6597344572538565;5.670225673879178;0.48520153205442357;0.324107642095347;0.619591884457987;
1313;0.06405358354819189;0.7888888219014368;5.838126347921032;0.5846852994181003;0.6363470452771326;0.4153883619746504;5.666036883674391;0.5445427266222309;0.3495894491744642;0.7661995416255106;0.12566370614359174;1.0122909661567112;5.805314157983539;0.9896016858807848;0.630063859969953;0.7452555906015785;5.708099318647456;0.5532693728822025;0.28483773392547457;0.7539822368615503;
1500;5.925218277595548;0.736528944341607;0.610341639422417;0.5131268000863328;5.662546225170402;0.32986722862692824;0.4317944569433971;0.5061454830783556;6.2339670222733465;0.7190756518216639;5.882108645071289;0.7435102613495843;0.6040584541152375;0.7068583470577035;5.716127833206628;0.6614797865058508;0.3495894491744642;0.7173303225696694;0.030368728984701335;0.7609635538695277;
