clusterNumber;ntc;cana;delta_1_deviation;delta_1_meanValue;epsilon_1_deviation;epsilon_1_meanValue;zeta_1_deviation;zeta_1_meanValue;alpha_2_deviation;alpha_2_meanValue;beta_2_deviation;beta_2_meanValue;gamma_2_deviation;gamma_2_meanValue;delta_2_deviation;delta_2_meanValue;chi_1_deviation;chi_1_meanValue;chi_2_deviation;chi_2_meanValue;NN_deviation;NN_meanValue;CC_deviation;CC_meanValue;mu_deviation;mu_meanValue;ribosePseudorotation_1;ribosePseudorotation_2;
122;BB2S;SYN;0.06527531402458793;2.3436281195779856;0.07661995416255106;3.3892548744477886;0.12007865253720987;3.9002872794317285;0.21450096507010308;0.8047713180945854;0.15219271077390553;3.1485739705977704;0.10646508437165408;5.060931232007958;0.06475171524898962;2.5398031275021484;0.10646508437165408;4.384790679785354;0.09826203688728076;1.156978761147041;0.298;6.003;0.256;6.214;0.05358160803622591;6.254910973297277;2.546958977435325;2.9462903102916274;
1221;OP03;OPN;0.04293509959906051;1.3569934934255912;0.07976154681614087;3.9474111692355747;0.11292280260403312;5.2441908034673625;0.1642354826126664;3.050660999560888;0.11990411961201045;2.4082053019017757;0.11798425743481668;0.888896188040712;0.05253441048502932;1.4603169851436557;0.09651670763528641;3.4789647980002973;0.15917402778188283;3.39483992805417;0.237;7.521;0.235;7.458;0.14119713648634125;3.5276594841309388;0.3050835532486088;0.29897490086662865;
123;ZZ1S;ZZZ;0.06300638599699529;2.56685573090806;0.08901179185171079;4.5849799449891036;0.07696902001294993;1.3281955607676845;0.06963863715457375;1.1564551623714427;0.0651007810993885;3.2454397440834555;0.07068583470577033;3.1127947209318867;0.08377580409572781;1.668883830756978;0.1223475805648025;3.6053266358446865;0.10663961729685353;1.0641272449409427;0.098;6.389;0.087;6.264;0.10035643198967394;6.264335751258048;2.7234117648119516;0.47211156266446613;
124;ZZS1;ZZZ;0.10210176124166827;1.6954128353872915;0.11239920382843484;4.249178596905395;0.13962634015954636;5.110324049839397;0.12112585008840647;3.6681584889164824;0.17121679962064373;4.031186973331303;0.09965830028887622;0.9711011958096449;0.08970992355250852;2.514321320423031;0.08517206749732328;1.1032226201856157;0.10559241974565695;3.5876988103995435;0.11;5.663;0.138;6.782;0.0582939970166106;5.792398721518781;0.546637121724624;2.6752406774569084;
1241;IC01;ICL;0.06335545184739416;1.4444344889505074;0.17296212887263807;3.8343138337063425;0.136659280431156;5.054298980850378;0.13212142437597077;5.186769471076748;0.1816887751326097;3.888942639293765;0.13753194505715316;0.9491100472345164;0.09704030641088471;2.5338690080453676;0.15603243512829304;3.5424947827728905;0.13857914260834978;4.9462631001519295;0.254;7.245;0.225;7.535;0.19600047499896323;0.1850049007113989;0.30839967882739805;2.7797858996513685;
126;ZZS2;ZZZ;0.038397243543875255;1.6557938613670204;0.11152653920243764;3.257657048847416;0.12636183784438945;1.1180579188275674;0.10105456369047167;2.9441959151892343;0.1340412865531645;2.824640861427623;0.08779006137531478;0.7686430025783026;0.044331363000655974;2.4932028364738996;0.07120943348136864;0.9815731713216109;0.08203047484373349;3.7110935885155425;0.145;5.675;0.128;6.737;0.06335545184739416;5.749987220695319;0.49253191491279974;2.6755897433073073;
1267;OP18;OPN;0.0582939970166106;2.6007151183967503;0.11798425743481668;5.075766530649909;0.14032447186034408;1.8472564803107985;0.1457349925415265;1.146506785635075;0.1392772743091475;3.46255870303155;0.12566370614359174;0.9520771069629066;0.06981317007977318;2.569473724786052;0.14364059743913332;3.920533098754862;0.1837831702350029;4.22910731050746;0.322;8.591;0.242;6.536;0.18430676901060122;4.015479010063354;2.8989918875625813;2.8391270942191755;
127;ZZ2S;ZZZ;0.0841248699461267;2.465103035516791;0.1090830782496456;4.587074340091497;0.10524335389525807;1.2402309664671707;0.11554079648202462;1.3569934934255912;0.12496557444279399;3.139847324337799;0.08709192967451704;3.225193924760321;0.11938052083641214;2.5616197431520775;0.114493598930828;3.6323792392505987;0.08203047484373349;1.3365731411772575;0.129;6.366;0.131;6.238;0.12287117934040079;6.2111032090722205;2.665117767795341;2.9199358385865133;
13;AA02;AAA;0.10175269539126942;1.5357152088298105;0.15707963267948966;3.5320228072609248;0.18099064343181195;4.784820144342453;0.10733774899765128;5.11835256439857;0.13212142437597077;2.8023006470020957;0.08970992355250852;0.9403834009745448;0.10053096491487339;1.539903999034597;0.13334315485236678;4.273264140582916;0.12269664641520137;4.287226774598871;0.125;4.668;0.147;5.219;0.09983283321407564;0.3120648702565861;0.8026769229921922;0.6297147941195541;
13025;AA06;AAw;0.07661995416255106;1.3981832637726574;0.19826940302655582;3.7384952577718535;0.15428710587629874;4.468566483881081;0.17400932642383465;2.3640484718263193;0.14329153158873445;3.99488412488982;0.19320794819577228;3.142814384066189;0.06963863715457375;1.4233160050013756;0.1425933998879367;3.4206708009836864;0.14765485471872028;3.1459559767197787;0.27;4.585;0.251;5.156;0.1303760951239764;0.2727949620867137;0.2871066619530672;0.18413223608540177;
1313;AA05;AAw;0.06667157742618339;1.4358823756157348;0.15969762655748115;3.7309903419882784;0.14643312424232427;5.071228674594724;0.15847589608108512;2.4389230967368762;0.20420352248333654;3.932226804743225;0.17243853009703977;3.185051351964452;0.05253441048502932;1.4824826666439832;0.17523105690023066;3.6393605562585765;0.10053096491487339;3.214023817547558;0.224;4.327;0.182;4.829;0.17400932642383465;0.9873327578531922;0.2282890661608583;0.13421581947836395;
1500;OP22;OPN;0.06370451769779302;2.5684265272348554;0.16929693744344995;4.270995212555324;0.23212879051524585;2.1919590075796784;0.19093902016817965;4.989547265601389;0.13962634015954636;2.81940487367164;0.1265363707695889;0.8508480103472356;0.09058258817850572;2.4774948732059507;0.11257373675363426;4.06888608517438;0.14189526818713902;4.029790709929707;0.376;6.926;0.303;6.437;0.14241886696273728;0.7737044574090862;2.894104965656997;2.767568594887408;
